t	zt
1	235000
2	239000
3	244090
4	252731
5	264377
6	277934
7	286687
8	295629
9	310444
10	325112
11	336291
12	344459
13	355399
14	367691
15	384003
16	398042
17	412969
18	422901
19	434960
20	445853
21	455929
22	465584
23	477894
24	491408
25	507712
26	517237
27	524349
28	532104
29	538097
30	544948
31	551925
32	557929
33	564285
34	572164
35	582926
36	595295
37	607028
38	617541
39	622941
40	633436
41	647371
42	658230
43	670777
44	685457
45	690992
46	693557
47	700675
48	712710
49	726513
50	736429
51	743203
52	751227
53	764265
54	777852
55	791070
56	805844
57	815122
58	822905
59	830663
60	839600
61	846962
62	853830
63	860840
64	871075
65	877792
66	881143
67	884226
68	890208
69	894966
70	901288
71	913138
72	922511
73	930786
74	941306
75	950305
76	952373
77	960042
78	968100
79	972477
80	977408
81	977602
82	979505
83	982934
84	985833
85	991350
86	996291
87	1003100
88	1010320
89	1018420
90	1029480
